,home_team,away_team,home_goals,away_goals,result
167,West Ham United,Wolverhampton Wanderers,3.0,0.0,H
168,Liverpool,Manchester United,0.0,0.0,D
169,Crystal Palace,Brighton & Hove Albion,1.0,1.0,D
170,Aston Villa,Sheffield United,1.0,1.0,D
171,West Ham United,Manchester United,2.0,0.0,H
172,Fulham,Burnley,0.0,2.0,A
173,Luton Town,Newcastle United,1.0,0.0,H
174,Nottingham Forest,Bournemouth,2.0,3.0,A
175,Tottenham Hotspur,Everton,2.0,1.0,H
176,Liverpool,Arsenal,1.0,1.0,D
177,Wolverhampton Wanderers,Chelsea,2.0,1.0,H
178,Newcastle United,Nottingham Forest,1.0,3.0,A
179,Bournemouth,Fulham,3.0,0.0,H
180,Sheffield United,Luton Town,2.0,3.0,A
181,Burnley,Liverpool,0.0,2.0,A
182,Manchester United,Aston Villa,3.0,2.0,H
183,Brentford,Wolverhampton Wanderers,1.0,4.0,A
184,Chelsea,Crystal Palace,2.0,1.0,H
185,Everton,Manchester City,1.0,3.0,A
186,Brighton & Hove Albion,Tottenham Hotspur,4.0,2.0,H
187,Arsenal,West Ham United,0.0,2.0,A
188,Luton Town,Chelsea,2.0,3.0,A
189,Aston Villa,Burnley,3.0,2.0,H
190,Crystal Palace,Brentford,3.0,1.0,H
191,Manchester City,Sheffield United,2.0,0.0,H
192,Wolverhampton Wanderers,Everton,3.0,0.0,H
193,Nottingham Forest,Manchester United,2.0,1.0,H
194,Fulham,Arsenal,2.0,1.0,H
195,Tottenham Hotspur,Bournemouth,3.0,1.0,H
196,Liverpool,Newcastle United,4.0,2.0,H
197,West Ham United,Brighton & Hove Albion,0.0,0.0,D
198,Burnley,Luton Town,1.0,1.0,D
199,Chelsea,Fulham,1.0,0.0,H
200,Newcastle United,Manchester City,2.0,3.0,A
201,Everton,Aston Villa,0.0,0.0,D
202,Manchester United,Tottenham Hotspur,2.0,2.0,D
203,Arsenal,Crystal Palace,5.0,0.0,H
204,Brentford,Nottingham Forest,3.0,2.0,H
205,Sheffield United,West Ham United,2.0,2.0,D
206,Bournemouth,Liverpool,0.0,4.0,A
207,Brighton & Hove Albion,Wolverhampton Wanderers,0.0,0.0,D
208,Nottingham Forest,Arsenal,1.0,2.0,A
209,Fulham,Everton,0.0,0.0,D
210,Luton Town,Brighton & Hove Albion,4.0,0.0,H
211,Crystal Palace,Sheffield United,3.0,2.0,H
212,Aston Villa,Newcastle United,1.0,3.0,A
213,Manchester City,Burnley,3.0,1.0,H
214,Tottenham Hotspur,Brentford,3.0,2.0,H
215,Liverpool,Chelsea,4.0,1.0,H
216,West Ham United,Bournemouth,1.0,1.0,D
217,Wolverhampton Wanderers,Manchester United,3.0,4.0,A
218,Everton,Tottenham Hotspur,2.0,2.0,D
219,Brighton & Hove Albion,Crystal Palace,4.0,1.0,H
220,Burnley,Fulham,2.0,2.0,D
221,Newcastle United,Luton Town,4.0,4.0,D
222,Sheffield United,Aston Villa,0.0,5.0,A
223,Bournemouth,Nottingham Forest,1.0,1.0,D
224,Chelsea,Wolverhampton Wanderers,2.0,4.0,A
225,Manchester United,West Ham United,3.0,0.0,H
226,Arsenal,Liverpool,3.0,1.0,H
227,Brentford,Manchester City,1.0,3.0,A
228,Manchester City,Everton,2.0,0.0,H
229,Fulham,Bournemouth,3.0,1.0,H
230,Liverpool,Burnley,3.0,1.0,H
231,Luton Town,Sheffield United,1.0,3.0,A
232,Tottenham Hotspur,Brighton & Hove Albion,2.0,1.0,H
233,Wolverhampton Wanderers,Brentford,0.0,2.0,A
234,Nottingham Forest,Newcastle United,2.0,3.0,A
235,West Ham United,Arsenal,0.0,6.0,A
236,Aston Villa,Manchester United,1.0,2.0,A
237,Crystal Palace,Chelsea,1.0,3.0,A
238,Brentford,Liverpool,1.0,4.0,A
239,Burnley,Arsenal,0.0,5.0,A
240,Fulham,Aston Villa,1.0,2.0,A
241,Newcastle United,Bournemouth,2.0,2.0,D
242,Nottingham Forest,West Ham United,2.0,0.0,H
243,Tottenham Hotspur,Wolverhampton Wanderers,1.0,2.0,A
244,Manchester City,Chelsea,1.0,1.0,D
245,Sheffield United,Brighton & Hove Albion,0.0,5.0,A
246,Luton Town,Manchester United,1.0,2.0,A
247,Everton,Crystal Palace,1.0,1.0,D
248,Manchester City,Brentford,1.0,0.0,H
249,Liverpool,Luton Town,4.0,1.0,H
250,Aston Villa,Nottingham Forest,4.0,2.0,H
251,Brighton & Hove Albion,Everton,1.0,1.0,D
252,Crystal Palace,Burnley,3.0,0.0,H
253,Manchester United,Fulham,1.0,2.0,A
254,Bournemouth,Manchester City,0.0,1.0,A
255,Arsenal,Newcastle United,4.0,1.0,H
256,Wolverhampton Wanderers,Sheffield United,1.0,0.0,H
257,West Ham United,Brentford,4.0,2.0,H
258,Brentford,Chelsea,2.0,2.0,D
259,Everton,West Ham United,1.0,3.0,A
260,Fulham,Brighton & Hove Albion,3.0,0.0,H
261,Newcastle United,Wolverhampton Wanderers,3.0,0.0,H
262,Nottingham Forest,Liverpool,0.0,1.0,A
263,Tottenham Hotspur,Crystal Palace,3.0,1.0,H
264,Luton Town,Aston Villa,2.0,3.0,A
265,Burnley,Bournemouth,0.0,2.0,A
266,Manchester City,Manchester United,3.0,1.0,H
267,Sheffield United,Arsenal,0.0,6.0,A
268,Manchester United,Everton,2.0,0.0,H
269,Bournemouth,Sheffield United,2.0,2.0,D
270,Crystal Palace,Luton Town,1.0,1.0,D
271,Wolverhampton Wanderers,Fulham,2.0,1.0,H
272,Arsenal,Brentford,2.0,1.0,H
